line_key,anomaly_type,severity,description,reconciliation_status
TXN-A-002057-L4027,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002058-L4028,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002059-L4029,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002060-L4030,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002061-L4031,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002062-L4032,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002063-L4033,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002064-L4034,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002065-L4035,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002066-L4036,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002067-L4037,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002068-L4038,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002069-L4039,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002070-L4040,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002071-L4041,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002072-L4042,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002073-L4043,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002074-L4044,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002075-L4045,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002076-L4046,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002077-L4047,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002077-L4047,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002078-L4048,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002078-L4048,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002081-L4051,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002082-L4052,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002082-L4052,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002085-L4055,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002085-L4055,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002086-L4056,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002086-L4056,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002088-L4058,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002088-L4058,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002089-L4059,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002090-L4060,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002090-L4060,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002091-L4061,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002093-L4063,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002094-L4064,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002096-L4066,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002096-L4066,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002097-L4067,HIGH_VALUE_OUTLIER,HIGH,Amount 15029.69 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-002098-L4068,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002099-L4069,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002100-L4070,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002101-L4071,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002102-L4072,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002104-L4074,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002104-L4074,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002105-L4075,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002105-L4075,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002106-L4076,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002106-L4076,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002107-L4077,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002108-L4078,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002108-L4078,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002109-L4079,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002110-L4080,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002111-L4081,HIGH_VALUE_OUTLIER,HIGH,Amount 43016.04 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-002112-L4082,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002113-L4083,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002113-L4083,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002114-L4084,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002114-L4084,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002116-L4086,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002116-L4086,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002117-L4087,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002117-L4087,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002118-L4088,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002119-L4089,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002120-L4090,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002120-L4090,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002121-L4091,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002122-L4092,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002122-L4092,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002124-L4094,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002124-L4094,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002125-L4095,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002125-L4095,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002127-L4098,HIGH_VALUE_OUTLIER,HIGH,Amount 3798.86 exceeds 5.0x population mean 337.71,UNRESOLVED
TXN-A-002127-L4098,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002127-L4098,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002128-L4100,HIGH_VALUE_OUTLIER,HIGH,Amount 26278.56 exceeds 5.0x population mean 337.71,UNRESOLVED
TXN-A-002128-L4100,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002128-L4100,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002130-L4104,HIGH_VALUE_OUTLIER,HIGH,Amount 3961.30 exceeds 5.0x population mean 337.71,UNRESOLVED
TXN-A-002130-L4104,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002130-L4104,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002131-L4106,HIGH_VALUE_OUTLIER,HIGH,Amount 30562.61 exceeds 5.0x population mean 337.71,PRICE_DIFFERENCE
TXN-A-002132-L4108,HIGH_VALUE_OUTLIER,HIGH,Amount 2147.68 exceeds 5.0x population mean 337.71,UNRESOLVED
TXN-A-002132-L4108,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002133-L4110,HIGH_VALUE_OUTLIER,HIGH,Amount 19362.24 exceeds 5.0x population mean 337.71,MISSING_IN_SOURCE_B
TXN-A-002133-L4110,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002134-L4112,HIGH_VALUE_OUTLIER,HIGH,Amount 42681.24 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-002135-L4114,HIGH_VALUE_OUTLIER,HIGH,Amount 21929.33 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-002136-L4116,HIGH_VALUE_OUTLIER,HIGH,Amount 2639.37 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-002137-L4118,HIGH_VALUE_OUTLIER,HIGH,Amount 13253.93 exceeds 5.0x population mean 337.71,MISSING_IN_SOURCE_B
TXN-A-002137-L4118,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002138-L4120,HIGH_VALUE_OUTLIER,HIGH,Amount 19983.30 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-002139-L4122,HIGH_VALUE_OUTLIER,HIGH,Amount 54102.88 exceeds 5.0x population mean 337.71,UNRESOLVED
TXN-A-002139-L4122,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002140-L4124,HIGH_VALUE_OUTLIER,HIGH,Amount 15951.87 exceeds 5.0x population mean 337.71,UNRESOLVED
TXN-A-002140-L4124,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002141-L4126,HIGH_VALUE_OUTLIER,HIGH,Amount 15119.01 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-002143-L4130,HIGH_VALUE_OUTLIER,HIGH,Amount 26560.64 exceeds 5.0x population mean 337.71,MISSING_IN_SOURCE_B
TXN-A-002143-L4130,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002144-L4132,HIGH_VALUE_OUTLIER,HIGH,Amount 24786.94 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-002145-L4134,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002145-L4134,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002146-L4136,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002147-L4138,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002147-L4138,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002148-L4140,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002153-L4150,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002154-L4152,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002156-L4156,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002156-L4156,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002157-L4158,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002160-L4164,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002162-L4168,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002163-L4170,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002163-L4170,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002164-L4172,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002165-L4174,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002165-L4174,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002167-L4178,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002169-L4182,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002170-L4184,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002172-L4188,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002173-L4190,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002174-L4192,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002176-L4196,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002177-L4197,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002178-L4198,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002179-L4199,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002180-L4200,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002181-L4201,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002182-L4202,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002183-L4203,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002184-L4204,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002185-L4205,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002186-L4206,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002187-L4207,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002188-L4208,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002189-L4209,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002190-L4210,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002191-L4211,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002192-L4212,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002193-L4213,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002194-L4214,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002195-L4215,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002196-L4216,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002197-L4217,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002198-L4218,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002199-L4219,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002200-L4220,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002201-L4221,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002203-L4225,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002204-L4227,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002205-L4229,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002207-L4233,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002208-L4235,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002208-L4235,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002209-L4237,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002210-L4239,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002211-L4241,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002213-L4245,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002213-L4245,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002214-L4247,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002215-L4249,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002216-L4251,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002217-L4253,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002218-L4255,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002220-L4259,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002221-L4261,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002222-L4263,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002223-L4265,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002224-L4267,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002225-L4269,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002228-L4275,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002229-L4277,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002230-L4279,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002231-L4281,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002231-L4281,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002232-L4283,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002233-L4285,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002233-L4285,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002234-L4287,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002234-L4287,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002236-L4291,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002237-L4293,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002238-L4295,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002240-L4299,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002241-L4301,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002241-L4301,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002242-L4303,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002243-L4305,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002244-L4307,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002245-L4309,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002248-L4315,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002249-L4317,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002250-L4319,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002251-L4321,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002251-L4321,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002252-L4323,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002253-L4325,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002254-L4327,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002256-L4331,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002257-L4333,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002258-L4335,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002259-L4337,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002259-L4337,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002263-L4345,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002264-L4347,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002265-L4349,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-002265-L4349,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-002266-L4351,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
TXN-A-002267-L4353,MISSING_COUNTERPART,LOW,Status: MISSING_IN_SOURCE_B,MISSING_IN_SOURCE_B
