source_a_line_id,source_a_transaction_id,source_b_line_id,source_b_transaction_id,match_method,confidence_score,identity_status,quantity_status,price_status,amount_status,reconciliation_status,review_required,quantity_difference,price_difference,amount_difference,source_a_product_id,source_b_product_id,source_a_product_name,source_b_product_name,source_a_amount,source_b_amount,source_a_quantity,source_b_quantity,source_a_unit_price,source_b_unit_price,signed_exposure,absolute_exposure,quantity_exposure,price_exposure,amount_exposure,unresolved_exposure,review_exposure
TXN-A-000340-L679,TXN-A-000340,TXN-B-000340-L680,TXN-B-000340,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0089,PRD-0089,AURORA Face Cream 500 ML,AURORA Face Cream 500 ML,172.21,172.21,3.44,3.44,50.06,50.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000341-L681,TXN-A-000341,TXN-B-000341-L682,TXN-B-000341,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0145,PRD-0145,ZENITH Screwdriver Set 10 W,ZENITH Screwdriver Set 10 W,267.34,267.34,8.37,8.37,31.94,31.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000342-L683,TXN-A-000342,TXN-B-000342-L684,TXN-B-000342,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0084,PRD-0084,NEXUS Toothpaste 15 W,NEXUS Toothpaste 15 W,229.11,229.11,6.93,6.93,33.06,33.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000343-L685,TXN-A-000343,TXN-B-000343-L686,TXN-B-000343,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0126,PRD-0126,NEXUS Sketch Pad 250 ML,NEXUS Sketch Pad 250 ML,215.69,215.69,2.63,2.63,82.01,82.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000344-L687,TXN-A-000344,TXN-B-000344-L688,TXN-B-000344,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0028,PRD-0028,ZENITH Highlighter Set 500 ML,ZENITH Highlighter Set 500 ML,864.94,864.94,7.63,7.63,113.36,113.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000345-L689,TXN-A-000345,TXN-B-000345-L690,TXN-B-000345,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0005,PRD-0005,AURORA Glass Spray 500 G,AURORA Glass Spray 500 G,530.47,530.47,4.77,4.77,111.21,111.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000346-L691,TXN-A-000346,TXN-B-000346-L692,TXN-B-000346,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0109,PRD-0109,ZENITH Storage Container 20 W,ZENITH Storage Container 20 W,325.32,325.32,3.65,3.65,89.13,89.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000347-L693,TXN-A-000347,TXN-B-000347-L694,TXN-B-000347,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0003,PRD-0003,NEXUS All Purpose Cleaner 250 ML,NEXUS All Purpose Cleaner 250 ML,1066.46,1066.46,9.14,9.14,116.68,116.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000348-L695,TXN-A-000348,TXN-B-000348-L696,TXN-B-000348,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0029,PRD-0029,AURORA Highlighter Set 9 V,AURORA Highlighter Set 9 V,190.30,190.30,7.28,7.28,26.14,26.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000349-L697,TXN-A-000349,TXN-B-000349-L698,TXN-B-000349,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0019,PRD-0019,ZENITH Air Freshener 45 CM,ZENITH Air Freshener 45 CM,115.09,115.09,2.97,2.97,38.75,38.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000350-L699,TXN-A-000350,TXN-B-000350-L700,TXN-B-000350,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0022,PRD-0022,ZENITH Floor Polish 2000 MAH,ZENITH Floor Polish 2000 MAH,53.93,53.93,9.11,9.11,5.92,5.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000351-L701,TXN-A-000351,TXN-B-000351-L702,TXN-B-000351,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0147,PRD-0147,NEXUS Screwdriver Set 100 MG,NEXUS Screwdriver Set 100 MG,514.61,514.61,8.53,8.53,60.33,60.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000352-L703,TXN-A-000352,TXN-B-000352-L704,TXN-B-000352,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0137,PRD-0137,AURORA Scissors 100 MG,AURORA Scissors 100 MG,676.08,676.08,7.19,7.19,94.03,94.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000353-L705,TXN-A-000353,TXN-B-000353-L706,TXN-B-000353,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0098,PRD-0098,AURORA Cutting Board 10 IN,AURORA Cutting Board 10 IN,124.93,124.93,7.31,7.31,17.09,17.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000354-L707,TXN-A-000354,TXN-B-000354-L708,TXN-B-000354,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0090,PRD-0090,NEXUS Face Cream 100 MG,NEXUS Face Cream 100 MG,48.80,48.80,2.44,2.44,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000355-L709,TXN-A-000355,TXN-B-000355-L710,TXN-B-000355,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0110,PRD-0110,AURORA Storage Container 5 W,AURORA Storage Container 5 W,410.06,410.06,9.19,9.19,44.62,44.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000356-L711,TXN-A-000356,TXN-B-000356-L712,TXN-B-000356,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0063,PRD-0063,NEXUS Battery Pack 10 W,NEXUS Battery Pack 10 W,579.79,579.79,6.02,6.02,96.31,96.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000357-L713,TXN-A-000357,TXN-B-000357-L714,TXN-B-000357,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0104,PRD-0104,AURORA Measuring Cup 10000 MAH,AURORA Measuring Cup 10000 MAH,235.36,235.36,3.44,3.44,68.42,68.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000358-L715,TXN-A-000358,TXN-B-000358-L716,TXN-B-000358,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0083,PRD-0083,AURORA Toothpaste 3 V,AURORA Toothpaste 3 V,175.83,175.83,3.73,3.73,47.14,47.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000359-L717,TXN-A-000359,TXN-B-000359-L718,TXN-B-000359,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0030,PRD-0030,NEXUS Highlighter Set 12 IN,NEXUS Highlighter Set 12 IN,182.86,182.86,2.63,2.63,69.53,69.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000360-L719,TXN-A-000360,TXN-B-000360-L720,TXN-B-000360,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0075,PRD-0075,NEXUS Hand Soap 10000 MAH,NEXUS Hand Soap 10000 MAH,487.54,487.54,7.02,7.02,69.45,69.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000361-L721,TXN-A-000361,TXN-B-000361-L722,TXN-B-000361,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0111,PRD-0111,NEXUS Storage Container 500 G,NEXUS Storage Container 500 G,514.80,514.80,8.42,8.42,61.14,61.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000362-L723,TXN-A-000362,TXN-B-000362-L724,TXN-B-000362,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0114,PRD-0114,NEXUS Kitchen Towel 10 W,NEXUS Kitchen Towel 10 W,95.77,95.77,3.84,3.84,24.94,24.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000363-L725,TXN-A-000363,TXN-B-000363-L726,TXN-B-000363,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0016,PRD-0016,ZENITH Surface Wipes 60 CM,ZENITH Surface Wipes 60 CM,434.89,434.89,7.48,7.48,58.14,58.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000364-L727,TXN-A-000364,TXN-B-000364-L728,TXN-B-000364,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0100,PRD-0100,ZENITH Mixing Bowl Set 250 ML,ZENITH Mixing Bowl Set 250 ML,431.31,431.31,6.83,6.83,63.15,63.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000365-L729,TXN-A-000365,TXN-B-000365-L730,TXN-B-000365,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0133,PRD-0133,ZENITH Glue Stick 250 MG,ZENITH Glue Stick 250 MG,316.99,316.99,9.94,9.94,31.89,31.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000366-L731,TXN-A-000366,TXN-B-000366-L732,TXN-B-000366,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0131,PRD-0131,AURORA Ruler Set 60 CM,AURORA Ruler Set 60 CM,88.52,88.52,5.87,5.87,15.08,15.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000367-L733,TXN-A-000367,TXN-B-000367-L734,TXN-B-000367,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0122,PRD-0122,AURORA Notebook 5000 MAH,AURORA Notebook 5000 MAH,168.11,168.11,5.27,5.27,31.90,31.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000368-L735,TXN-A-000368,TXN-B-000368-L736,TXN-B-000368,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0101,PRD-0101,AURORA Mixing Bowl Set 100 MG,AURORA Mixing Bowl Set 100 MG,227.16,227.16,2.00,2.00,113.58,113.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000369-L737,TXN-A-000369,TXN-B-000369-L738,TXN-B-000369,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0062,PRD-0062,AURORA Battery Pack 2000 MAH,AURORA Battery Pack 2000 MAH,158.31,158.31,2.26,2.26,70.05,70.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000370-L739,TXN-A-000370,TXN-B-000370-L740,TXN-B-000370,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0114,PRD-0114,NEXUS Kitchen Towel 10 W,NEXUS Kitchen Towel 10 W,178.32,178.32,7.15,7.15,24.94,24.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000371-L741,TXN-A-000371,TXN-B-000371-L742,TXN-B-000371,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0077,PRD-0077,AURORA Shampoo 1 KG,AURORA Shampoo 1 KG,109.80,109.80,1.03,1.03,106.60,106.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000372-L743,TXN-A-000372,TXN-B-000372-L744,TXN-B-000372,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0134,PRD-0134,AURORA Glue Stick 9 V,AURORA Glue Stick 9 V,735.53,735.53,9.47,9.47,77.67,77.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000373-L745,TXN-A-000373,TXN-B-000373-L746,TXN-B-000373,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0029,PRD-0029,AURORA Highlighter Set 9 V,AURORA Highlighter Set 9 V,177.75,177.75,6.80,6.80,26.14,26.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000374-L747,TXN-A-000374,TXN-B-000374-L748,TXN-B-000374,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0073,PRD-0073,ZENITH Hand Soap 250 MG,ZENITH Hand Soap 250 MG,198.43,198.43,8.78,8.78,22.60,22.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000375-L749,TXN-A-000375,TXN-B-000375-L750,TXN-B-000375,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0105,PRD-0105,NEXUS Measuring Cup 100 G,NEXUS Measuring Cup 100 G,593.23,593.23,5.43,5.43,109.25,109.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000376-L751,TXN-A-000376,TXN-B-000376-L752,TXN-B-000376,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0096,PRD-0096,NEXUS Lotion 1 KG,NEXUS Lotion 1 KG,136.56,136.56,5.32,5.32,25.67,25.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000377-L753,TXN-A-000377,TXN-B-000377-L754,TXN-B-000377,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0135,PRD-0135,NEXUS Glue Stick 5000 MAH,NEXUS Glue Stick 5000 MAH,99.60,99.60,3.57,3.57,27.90,27.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000378-L755,TXN-A-000378,TXN-B-000378-L756,TXN-B-000378,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0097,PRD-0097,ZENITH Cutting Board 5 W,ZENITH Cutting Board 5 W,137.03,137.03,8.57,8.57,15.99,15.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000379-L757,TXN-A-000379,TXN-B-000379-L758,TXN-B-000379,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0112,PRD-0112,ZENITH Kitchen Towel 30 CM,ZENITH Kitchen Towel 30 CM,271.46,271.46,2.70,2.70,100.54,100.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000380-L759,TXN-A-000380,TXN-B-000380-L760,TXN-B-000380,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0027,PRD-0027,NEXUS Ballpoint Pen 500 ML,NEXUS Ballpoint Pen 500 ML,493.81,493.81,9.97,9.97,49.53,49.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000381-L761,TXN-A-000381,TXN-B-000381-L762,TXN-B-000381,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0146,PRD-0146,AURORA Screwdriver Set 500 ML,AURORA Screwdriver Set 500 ML,221.33,221.33,2.42,2.42,91.46,91.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000382-L763,TXN-A-000382,TXN-B-000382-L764,TXN-B-000382,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0104,PRD-0104,AURORA Measuring Cup 10000 MAH,AURORA Measuring Cup 10000 MAH,346.21,346.21,5.06,5.06,68.42,68.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000383-L765,TXN-A-000383,TXN-B-000383-L766,TXN-B-000383,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0077,PRD-0077,AURORA Shampoo 1 KG,AURORA Shampoo 1 KG,492.49,492.49,4.62,4.62,106.60,106.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000384-L767,TXN-A-000384,TXN-B-000384-L768,TXN-B-000384,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0065,PRD-0065,AURORA Charging Dock 3 V,AURORA Charging Dock 3 V,86.61,86.61,5.08,5.08,17.05,17.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000385-L769,TXN-A-000385,TXN-B-000385-L770,TXN-B-000385,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0089,PRD-0089,AURORA Face Cream 500 ML,AURORA Face Cream 500 ML,357.43,357.43,7.14,7.14,50.06,50.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000386-L771,TXN-A-000386,TXN-B-000386-L772,TXN-B-000386,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0136,PRD-0136,ZENITH Scissors 3 V,ZENITH Scissors 3 V,146.00,146.00,2.05,2.05,71.22,71.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000387-L773,TXN-A-000387,TXN-B-000387-L774,TXN-B-000387,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0001,PRD-0001,ZENITH All Purpose Cleaner 10 IN,ZENITH All Purpose Cleaner 10 IN,66.76,66.76,1.93,1.93,34.59,34.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000388-L775,TXN-A-000388,TXN-B-000388-L776,TXN-B-000388,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0019,PRD-0019,ZENITH Air Freshener 45 CM,ZENITH Air Freshener 45 CM,167.40,167.40,4.32,4.32,38.75,38.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000389-L777,TXN-A-000389,TXN-B-000389-L778,TXN-B-000389,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0012,PRD-0012,NEXUS Laundry Detergent 3 V,NEXUS Laundry Detergent 3 V,207.78,207.78,9.33,9.33,22.27,22.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000390-L779,TXN-A-000390,TXN-B-000390-L780,TXN-B-000390,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0035,PRD-0035,AURORA Stapler 10 W,AURORA Stapler 10 W,122.25,122.25,7.05,7.05,17.34,17.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000391-L781,TXN-A-000391,TXN-B-000391-L782,TXN-B-000391,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0124,PRD-0124,ZENITH Sketch Pad 500 MG,ZENITH Sketch Pad 500 MG,251.28,251.28,5.29,5.29,47.50,47.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000392-L783,TXN-A-000392,TXN-B-000392-L784,TXN-B-000392,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0112,PRD-0112,ZENITH Kitchen Towel 30 CM,ZENITH Kitchen Towel 30 CM,655.52,655.52,6.52,6.52,100.54,100.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000393-L785,TXN-A-000393,TXN-B-000393-L786,TXN-B-000393,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0041,PRD-0041,AURORA File Folder Pack 9 V,AURORA File Folder Pack 9 V,400.65,400.65,6.77,6.77,59.18,59.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000394-L787,TXN-A-000394,TXN-B-000394-L788,TXN-B-000394,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0110,PRD-0110,AURORA Storage Container 5 W,AURORA Storage Container 5 W,211.05,211.05,4.73,4.73,44.62,44.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000395-L789,TXN-A-000395,TXN-B-000395-L790,TXN-B-000395,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0137,PRD-0137,AURORA Scissors 100 MG,AURORA Scissors 100 MG,263.28,263.28,2.80,2.80,94.03,94.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000396-L791,TXN-A-000396,TXN-B-000396-L792,TXN-B-000396,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0011,PRD-0011,AURORA Laundry Detergent 2000 MAH,AURORA Laundry Detergent 2000 MAH,468.30,468.30,4.78,4.78,97.97,97.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000397-L793,TXN-A-000397,TXN-B-000397-L794,TXN-B-000397,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0107,PRD-0107,AURORA Spatula Set 9 V,AURORA Spatula Set 9 V,7.84,7.84,1.35,1.35,5.81,5.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000398-L795,TXN-A-000398,TXN-B-000398-L796,TXN-B-000398,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0133,PRD-0133,ZENITH Glue Stick 250 MG,ZENITH Glue Stick 250 MG,196.76,196.76,6.17,6.17,31.89,31.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00
